"Guage_Name","StartDate","EndDate","Spearman_HYPE","Spearman_PRMS","R2_HYPE","R2_PRMS","NSE_HYPE_Obs","NSE_PRMS_Obs","NSE_HYPE_PRMS","NSE_HYPE_RAVEN","NSE_PRMS_RAVEN","NSE_RAVEN_Obs","KGE_HYPE_Obs","KGE_PRMS_Obs","KGE_HYPE_PRMS","KGE_HYPE_RAVEN","KGE_PRMS_RAVEN","KGE_RAVEN_Obs"
"SWCSB","1981-10-02","2015-09-30",0.856,0.605,0.576,0.429,0.361251142359234,0.229474201317905,0.674919366994235,-0.325558699386631,0.204093675983764,0.2488326716334,0.294994412531907,0.229955359827777,0.773953314253611,0.366459062734954,0.56828806952485,0.192123031947533
"SMRBB","1981-10-02","2015-09-30",0.817,0.786,0.713,0.737,0.63883667081395,0.703014662667931,0.683790661153482,0.517682122204135,0.778823005111125,0.755025272551577,0.701428110650443,0.795312164729052,0.796878792464186,0.721147939174319,0.875297331159027,0.823961298528042
"SMRIB","1981-10-02","2015-09-30",0.786,0.843,0.721,0.767,0.659894295925517,0.742029853198297,0.717351701772053,0.566340331664777,0.788814822531097,0.758003917785237,0.784904718696977,0.833142710101822,0.836072874919257,0.755637265992398,0.848696515033503,0.877681217911575
"MRWIB","1981-10-02","2015-09-30",0.727,0.667,0.32,0.454,0.14004340090033,0.337023043672656,0.392010585609977,-0.00627674884933338,0.297552648210973,-0.154768740860531,0.554450395227438,0.655406192975827,0.672379007805957,0.474705824286036,0.577522900679508,0.436522765618252
"NFKMR","1981-10-02","2015-09-30",0.473,0.431,0.298,0.422,-0.247116201997708,0.133221302059731,0.143752787529327,-0.440798764578506,-0.410310537096258,-0.657347635685005,0.307426630293671,0.599554407649672,0.393737372713679,0.310122155465378,-0.402336675432155,0.153588913276438
"MREIB","1981-10-02","2015-09-30",0.743,0.661,0.368,0.278,0.322907609242804,-2.83660652817764,-5.38373305529394,0.529036890764699,-3.45357308986555,0.104615419655753,0.436231980883813,-0.423002531413389,0.030854078906339,0.654643000783352,-0.551827112312053,0.456899796880832
"CLCMO","1981-10-02","2015-09-30",0.436,0.466,0.037,0.049,-0.141716328770954,-7.54901605438173,-23.2486009969088,-0.255867248570558,-6.27812440641687,0.326195678268031,-0.217475801120313,-1.24288339282808,-0.465658684228794,-0.225016603660415,-0.9893426019375,0.626167007229675
"LDCIB","1981-10-02","2015-09-30",0.501,0.429,0.185,0.189,0.0688561845634447,-3.76475365350692,-5.93558424979862,-0.408791926040748,-8.69693161840194,-0.144722398857918,0.355116439111864,-1.84939726084479,-0.00117954762083672,0.199568428171942,-2.94359598356923,0.156293415401524
"BTCIB","1981-10-02","2015-09-30",0.61,0.531,0.238,0.156,-0.00218578823347126,-13.13072676132,-11.9994130583872,0.25372830106325,-7.24118224109748,-0.616746628749959,0.487171698041895,-3.11516037066759,-0.12245837157786,0.53651254847029,-2.20680557307766,0.281746317118364
"PPCMO","1981-10-02","2015-09-30",0.602,0.456,0.414,0.135,0.412215001982379,-1.59024168012704,-1.45628051562875,0.468278714359933,-1.53792321917956,0.139091846307868,0.463947724606826,-0.113794445166098,0.312566886176595,0.651479158194382,-0.435121127053569,0.229954711810744
"BCBMO","1981-10-02","2015-09-30",0.453,0.431,0.324,0.296,0.0283753578003221,-0.16411291473283,0.76221147896631,0.704753773946895,0.590863817836689,0.168806855187298,0.549497328855242,0.435639960920977,0.821673120866646,0.651396330392036,0.454214976506481,0.537273408876576
"RKCMO","1981-10-02","2015-09-30",0.477,0.488,0.099,0.036,-4.93289040072696,-5.74053172461154,-0.0343957299517121,-1.69518271186419,-1.17882923660306,-1.60754006519715,-1.35456929814144,-1.80149338563785,0.461005883210006,-0.666320006366791,-1.03895478144985,0.0395838490827065
